word,is_bad
1337,1
2 girls 1 cup,1
2g1c,1
@$$,1
Ass Monkey,1
AssMonkey,1
Assface,1
Biatch,1
Blow Job,1
BlowJob,1
Carpet Muncher,1
CarpetMuncher,1
Clit,1
Cock,1
CockSucker,1
Ekrem,1
Ekto,1
Felcher,1
Flikker,1
Fotze,1
Fu,1
Fu(,1
Fudge Packer,1
FudgePacker,1
Fukah,1
Fuken,1
Fukin,1
Fukk,1
Fukkah,1
Fukken,1
Fukker,1
Fukkin,1
GAY,1
God-damned,1
Goddamned,1
Huevon,1
Kurac,1
Lesbian,1
Lezzian,1
Lipshits,1
Lipshitz,1
Motha Fucker,1
Motha Fuker,1
Motha Fukkah,1
Motha Fukker,1
MothaFucker,1
MothaFuker,1
MothaFukkah,1
MothaFukker,1
Mother Fucker,1
Mother Fukah,1
Mother Fuker,1
Mother Fukkah,1
Mother Fukker,1
MotherFucker,1
MotherFukah,1
MotherFuker,1
MotherFukkah,1
MotherFukker,1
Mutha Fucker,1
Mutha Fukah,1
Mutha Fuker,1
Mutha Fukkah,1
Mutha Fukker,1
MuthaFucker,1
MuthaFukah,1
MuthaFuker,1
MuthaFukkah,1
MuthaFukker,1
Penisula,1
Phuc,1
Phuck,1
Phuk,1
Phuker,1
Phukker,1
Poonani,1
Sh!t,1
Shitty,1
Shity,1
Sht,1
Shyt,1
Shyte,1
Shytty,1
Shyty,1
Skanky,1
Slutty,1
a55,1
a55hole,1
acrotomophilia,1
aeolus,1
ahole,1
alabama hot pocket,1
alaskan pipeline,1
amcik,1
anal,1
analprobe,1
andskota,1
anilingus,1
anus,1
areola,1
areole,1
arian,1
arschloch,1
arse,1
arsehole,1
aryan,1
ash0le,1
ash0les,1
asholes,1
ass,1
ass hole,1
assbang,1
assbanged,1
assbangs,1
asses,1
assfuck,1
assfucker,1
assh0le,1
assh0lez,1
asshat,1
assho1e,1
asshole,1
assholes,1
assholz,1
assmaster,1
assmunch,1
assrammer,1
assrape,1
asswipe,1
asswipes,1
auto erotic,1
autoerotic,1
ayir,1
azazel,1
azz,1
azzhole,1
b!+ch,1
b!tch,1
b00b,1
b00bs,1
b17ch,1
b1tch,1
babe,1
babeland,1
babes,1
baby batter,1
baby juice,1
ball gag,1
ball gravy,1
ball kicking,1
ball licking,1
ball sack,1
ball sucking,1
ballsack,1
bang,1
bangbros,1
banger,1
bareback,1
barely legal,1
barenaked,1
barf,1
bassterds,1
bastard,1
bastardo,1
bastards,1
bastardz,1
basterds,1
basterdz,1
bastinado,1
bawdy,1
bbw,1
bch,1
bdsm,1
beaner,1
beardedclam,1
beastiality,1
beatch,1
beater,1
beaver,1
beaver cleaver,1
beaver lips,1
beer,1
beeyotch,1
beotch,1
bestiality,1
bi curious,1
bi+ch,1
bi7ch,1
biatch,1
bich,1
big black,1
big breasts,1
big knockers,1
big tits,1
bigtits,1
bimbo,1
bimbos,1
birdlock,1
bitch,1
bitched,1
bitches,1
bitchy,1
black cock,1
blonde action,1
blonde on blonde action,1
blow,1
blow job,1
blow your load,1
blowjob,1
blowjobs,1
blue waffle,1
blumpkin,1
bod,1
bodily,1
boffing,1
boink,1
boiolas,1
bollock,1
bollocks,1
bollok,1
bondage,1
bone,1
boned,1
boner,1
boners,1
bong,1
boob,1
boobies,1
boobs,1
booby,1
booger,1
bookie,1
bootee,1
bootie,1
booty,1
booty call,1
booze,1
boozer,1
boozy,1
bosom,1
bosomy,1
bowel,1
bowels,1
bra,1
brassiere,1
breast,1
breasts,1
brown showers,1
brunette action,1
btch,1
buceta,1
bugger,1
bukkake,1
bull shit,1
bulldyke,1
bullet vibe,1
bullshit,1
bullshits,1
bullshitted,1
bullturds,1
bung,1
bung hole,1
bunghole,1
busty,1
butt,1
butt fuck,1
butt-pirate,1
buttcheeks,1
buttfuck,1
buttfucker,1
butthole,1
buttpirate,1
buttplug,1
buttwipe,1
c-0-c-k,1
c-o-c-k,1
c-u-n-t,1
c.0.c.k,1
c.o.c.k.,1
c.u.n.t,1
c0ck,1
c0cks,1
c0k,1
cabron,1
caca,1
cahone,1
camel toe,1
cameltoe,1
camgirl,1
camslut,1
camwhore,1
carpet muncher,1
carpetmuncher,1
cawk,1
cawks,1
cazzo,1
cervix,1
chinc,1
chincs,1
chink,1
chocolate rosebuds,1
chode,1
chodes,1
chraa,1
chuj,1
cipa,1
circlejerk,1
cl1t,1
cleveland steamer,1
climax,1
clit,1
clitoris,1
clitorus,1
clits,1
clitty,1
clover clamps,1
clusterfuck,1
cnts,1
cntz,1
cocain,1
cocaine,1
cock,1
cock sucker,1
cock-head,1
cock-sucker,1
cockblock,1
cockhead,1
cockholster,1
cockknocker,1
cocks,1
cocksmoker,1
cocksucker,1
coital,1
commie,1
condom,1
coon,1
coons,1
coprolagnia,1
coprophilia,1
corksucker,1
cornhole,1
crabs,1
crack,1
cracker,1
crackwhore,1
crap,1
crappy,1
creampie,1
cum,1
cummin,1
cumming,1
cumshot,1
cumshots,1
cumslut,1
cumstain,1
cunilingus,1
cunnilingus,1
cunny,1
cunt,1
cuntface,1
cunthunter,1
cuntlick,1
cuntlicker,1
cunts,1
cuntz,1
d0ng,1
d0uch3,1
d0uche,1
d1ck,1
d1ld0,1
d1ldo,1
d4mn,1
dago,1
dagos,1
dammit,1
damn,1
damned,1
damnit,1
darkie,1
date rape,1
daterape,1
dawgie-style,1
daygo,1
deep throat,1
deepthroat,1
dego,1
dendrophilia,1
dick,1
dick-ish,1
dickbag,1
dickdipper,1
dickface,1
dickflipper,1
dickhead,1
dickheads,1
dickish,1
dickripper,1
dicksipper,1
dickweed,1
dickwhipper,1
dickzipper,1
diddle,1
dike,1
dild0,1
dild0s,1
dildo,1
dildos,1
diligaf,1
dilld0,1
dilld0s,1
dillweed,1
dimwit,1
dingle,1
dipship,1
dirsa,1
dirty pillows,1
dirty sanchez,1
dog style,1
doggie style,1
doggie-style,1
doggiestyle,1
doggy style,1
doggy-style,1
doggystyle,1
dolcett,1
domination,1
dominatricks,1
dominatrics,1
dominatrix,1
dommes,1
dong,1
donkey punch,1
doofus,1
doosh,1
dopey,1
double dong,1
double penetration,1
douch3,1
douche,1
douchebag,1
douchebags,1
douchey,1
dp action,1
drunk,1
dry hump,1
dumass,1
dumb,1
dumbass,1
dumbasses,1
dummy,1
dupa,1
dvda,1
dyke,1
dykes,1
dziwka,1
eat my ass,1
ecchi,1
ejackulate,1
ejaculate,1
ejaculation,1
ejakulate,1
enculer,1
enema,1
enlargement,1
erect,1
